OrderItemID,OrderID,MenuID,Quantity,Price,Subtotal,CreatedDate,ModifiedDate
29,13,1,2,300,600,2024-03-29 14:24:35.667731,2024-08-26 14:24:35.667731
30,14,1,1,300,300,2024-03-26 14:24:35.667846,2024-06-29 14:24:35.667846
31,14,2,1,244,244,2024-03-26 14:24:35.667846,2024-08-23 14:24:35.667846
32,15,1,1,143,143,2024-10-10 14:24:35.668203,2025-01-28 14:24:35.668203
33,15,2,3,248,744,2024-10-10 14:24:35.668203,2025-02-21 14:24:35.668203
34,15,3,3,224,672,2024-10-10 14:24:35.668203,2025-02-01 14:24:35.668203
35,15,4,1,134,134,2024-10-10 14:24:35.668203,2025-01-19 14:24:35.668203
36,16,1,3,248,744,2023-12-21 14:24:35.668393,2024-05-16 14:24:35.668393
37,16,2,3,224,672,2023-12-21 14:24:35.668393,2024-04-30 14:24:35.668393
38,16,3,1,143,143,2023-12-21 14:24:35.668393,2024-03-26 14:24:35.668393
39,17,1,1,134,134,2023-12-21 14:24:35.668393,2024-04-02 14:24:35.668393
