LocationID,City,State,ZipCode,ActiveFlag,CreatedDate,ModifiedDate
71,Ranchi,Jharkhand,834001,Yes,2024-11-02 22:06:18
72,Rishikesh,Uttarakhand,249201,Yes,2024-11-02 22:06:18
73,Salem,Tamil Nadu,636001,Yes,2024-11-02 22:06:18
74,Shimla,Himachal Pradesh,171001,Yes,2024-11-02 22:06:18
75,Siliguri,West Bengal,734001,Yes,2024-11-02 22:06:18
76,Srinagar,Jammu and Kashmir,190001,Yes,2024-11-02 22:06:18
77,Surat,Gujarat,395001,Yes,2024-11-02 22:06:18
78,Thrissur,Kerala,680001,Yes,2024-11-02 22:06:18
79,Tirupati,Andhra Pradesh,517501,Yes,2024-11-02 22:06:18
80,Trichy,Tamil Nadu,620001,Yes,2024-11-02 22:06:18
81,Trivandrum,Kerala,695001,Yes,2024-11-02 22:06:18
82,Udaipur,Rajasthan,313001,Yes,2024-11-02 22:06:18
83,Vadodara,Gujarat,390001,Yes,2024-11-02 22:06:18
84,Varanasi,Uttar Pradesh,221001,Yes,2024-11-02 22:06:18
85,Vellore,Tamil Nadu,632001,Yes,2024-11-02 22:06:18
86,Vijayawada,Andhra Pradesh,520001,Yes,2024-11-02 22:06:18
87,Visakhapatnam,Andhra Pradesh,530001,Yes,2024-11-02 22:06:18
